Individual,Institution_Code,Region,Sex,Ancestry,Sub,Tribe_Clean,Lang_Class,Age,Age_Clean_yr,Age_Group,Completion_%,LUI1MD_mm,LUI1BL_mm,RUI1MD_mm,RUI1BL_mm,LUI2MD_mm,LUI2BL_mm,RUI2MD_mm,RUI2BL_mm,LUCMD_mm,LUCBL_mm,RUCMD_mm,RUCBL_mm,LUP3MD_mm,LUP3BL_mm,RUP3MD_mm,RUP3BL_mm,LUP4MD_mm,LUP4BL_mm,RUP4MD_mm,RUP4BL_mm,LUM1MD_mm,LUM1BL_mm,LUM1MBDL_mm,LUM1MLDB_mm,RUM1MD_mm,RUM1BL_mm,RUM1MBDL_mm,RUM1MLDB_mm,LUM2MD_mm,LUM2BL_mm,LUM2MBDL_mm,LUM2MLDB_mm,RUM2MD_mm,RUM2BL_mm,RUM2MBDL_mm,RUM2MLDB_mm,LLI1MD_mm,LLI1BL_mm,RLI1MD_mm,RLI1BL_mm,LLI2MD_mm,LLI2BL_mm,RLI2MD_mm,RLI2BL_mm,LLCMD_mm,LLCBL_mm,RLCMD_mm,RLCBL_mm,LLP3MD_mm,LLP3BL_mm,RLP3MD_mm,RLP3BL_mm,LLP4MD_mm,LLP4BL_mm,RLP4MD_mm,RLP4BL_mm,LLM1MD_mm,LLM1BL_mm,LLM1MBDL_mm,LLM1MLDB_mm,RLM1MD_mm,RLM1BL_mm,RLM1MBDL_mm,RLM1MLDB_mm,LLM2MD_mm,LLM2BL_mm,LLM2MBDL_mm,LLM2MLDB_mm,RLM2MD_mm,RLM2BL_mm,RLM2MBDL_mm,RLM2MLDB_mm,Bi_LCBL_mm,Bi_LCMD_mm,Bi_LI1BL_mm,Bi_LI1MD_mm,Bi_LI2BL_mm,Bi_LI2MD_mm,Bi_LM1BL_mm,Bi_LM1MBDL_mm,Bi_LM1MD_mm,Bi_LM1MLDB_mm,Bi_LM2BL_mm,Bi_LM2MBDL_mm,Bi_LM2MD_mm,Bi_LM2MLDB_mm,Bi_LP3BL_mm,Bi_LP3MD_mm,Bi_LP4BL_mm,Bi_LP4MD_mm,Bi_UCBL_mm,Bi_UCMD_mm,Bi_UI1BL_mm,Bi_UI1MD_mm,Bi_UI2BL_mm,Bi_UI2MD_mm,Bi_UM1BL_mm,Bi_UM1MBDL_mm,Bi_UM1MD_mm,Bi_UM1MLDB_mm,Bi_UM2BL_mm,Bi_UM2MBDL_mm,Bi_UM2MD_mm,Bi_UM2MLDB_mm,Bi_UP3BL_mm,Bi_UP3MD_mm,Bi_UP4BL_mm,Bi_UP4MD_mm
W601,Witz,Transvaal,F,black,Sotho,Sotho,Sotho,60,60,Middle_Aged_Adult,78,NA,NA,NA,NA,6.63,7.03,NA,NA,7.78,8.86,NA,NA,7.64,9.82,NA,NA,7,10.59,NA,NA,10.91,12.75,13.52,12.81,NA,NA,NA,NA,10.57,13.23,13.77,12.78,NA,NA,NA,NA,NA,NA,NA,NA,6.42,7.01,NA,NA,7.49,8.3,NA,NA,8.05,8.9,NA,NA,7.8,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11.55,12.36,12.76,NA,NA,NA,NA,8.3,7.49,NA,NA,7.01,6.42,NA,NA,NA,NA,11.55,12.36,12,12.76,8.9,8.05,9.24,7.8,8.86,7.78,NA,NA,7.03,6.63,12.75,13.52,10.91,12.81,13.23,13.77,10.57,12.78,9.82,7.64,10.59,7
W642,Witz,Transvaal,F,black,Xhosa,Xhosa,Nguni,50,50,Middle_Aged_Adult,72,NA,NA,NA,NA,NA,NA,NA,NA,7.51,8.07,NA,NA,6.92,8.6,NA,NA,6.6,8.76,NA,NA,9.95,11.1,11.9,11.22,NA,NA,NA,NA,9.79,10.84,11.25,10.81,NA,NA,NA,NA,NA,NA,5.41,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,7.73,11.69,10.58,11.51,11.03,NA,NA,NA,NA,11.57,10.24,11.39,11.78,NA,NA,NA,NA,NA,NA,5.89,5.41,NA,NA,10.58,11.51,11.69,11.03,10.24,11.39,11.57,11.78,NA,NA,7.73,7.36,8.07,7.51,NA,NA,NA,NA,11.1,11.9,9.95,11.22,10.84,11.25,9.79,10.81,8.6,6.92,8.76,6.6
W522,Witz,Transvaal,F,black,Xhosa,Xhosa,Nguni,40,40,Middle_Aged_Adult,86,NA,NA,NA,NA,NA,NA,NA,NA,7.15,8.01,NA,NA,6.4,9.05,NA,NA,5.7,8.74,NA,NA,9.7,11.37,12.17,10.7,NA,NA,NA,NA,9.25,11.3,11.74,10.08,NA,NA,NA,NA,4.71,5.4,NA,NA,NA,5.83,NA,NA,7.54,8.03,NA,NA,NA,NA,6.56,7.65,NA,NA,6.78,7.69,10.63,10.43,11.11,10.91,NA,NA,NA,NA,9.97,9.8,10.77,10.67,NA,NA,NA,NA,8.03,7.54,5.4,4.71,5.83,NA,10.43,11.11,10.63,10.91,9.8,10.77,9.97,10.67,7.65,6.56,7.69,6.78,8.01,7.15,NA,NA,NA,NA,11.37,12.17,9.7,10.7,11.3,11.74,9.25,10.08,9.05,6.4,8.74,5.7
W451,Witz,Transvaal,F,black,Sotho,Sotho,Sotho,66,66,Older_Adult,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,10.24,NA,NA,NA,NA,6.51,9.73,NA,NA,NA,NA,10.25,11.33,11.84,11.65,NA,NA,NA,NA,9.4,11.18,11.25,10.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85,7.62,7.9,8.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.09,10.04,11.28,11.3,NA,NA,NA,NA,7.62,6.85,NA,NA,NA,NA,NA,NA,NA,NA,10.04,11.28,11.09,11.3,8.95,7.9,NA,NA,NA,NA,NA,NA,NA,NA,11.33,11.84,10.25,11.65,11.18,11.25,9.4,10.43,10.24,7.4,9.73,6.51
W182,Witz,Transvaal,F,black,Tswana,Tswana,Sotho,32,32,Middle_Aged_Adult,83,NA,NA,NA,NA,6.36,6.14,NA,NA,7.04,8.77,NA,NA,6.76,9.29,NA,NA,6.4,9.8,NA,NA,10.13,11.67,12.43,11.32,NA,NA,NA,NA,9.44,11.69,12.09,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31,8.15,NA,NA,6.81,8.5,NA,NA,7.05,8.77,NA,NA,NA,NA,NA,NA,10.09,11.29,12.21,11.42,11,10.65,11.87,11.34,NA,NA,NA,NA,8.15,6.31,NA,NA,NA,NA,11.29,12.21,10.09,11.42,10.65,11.87,11,11.34,8.5,6.81,8.77,7.05,8.77,7.04,NA,NA,6.14,6.36,11.67,12.43,10.13,11.32,11.69,12.09,9.44,11.06,9.29,6.76,9.8,6.4
W218,Witz,Transvaal,F,black,Sotho,Sotho,Sotho,25,25,Middle_Aged_Adult,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01,9.05,NA,NA,6.31,9.1,NA,NA,10.08,11,11.87,10.56,NA,NA,NA,NA,12.33,11.74,12.23,10.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91,7.74,7.12,8,NA,NA,7.74,8.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,9.96,11.3,11,NA,NA,NA,NA,7.74,6.91,NA,NA,NA,NA,NA,NA,NA,NA,9.96,11.3,11.3,11,8,7.12,8.46,7.74,NA,NA,NA,NA,NA,NA,11,11.87,10.08,10.56,11.74,12.23,12.33,10.78,9.05,7.01,9.1,6.31
W931,Witz,Transvaal,F,black,Xhosa,Xhosa,Nguni,60,60,Middle_Aged_Adult,81,NA,NA,NA,NA,NA,6.71,NA,NA,7.9,7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.15,11.09,11.94,11.34,NA,NA,NA,NA,10.56,12.14,12.16,11.35,5.47,5.33,NA,NA,6.07,5.67,NA,NA,6.83,6.76,NA,NA,7.22,7.8,NA,NA,7.49,8.44,NA,NA,NA,NA,NA,NA,11,10.2,11.35,11.42,11.48,10.58,11.91,11.76,NA,NA,NA,NA,6.76,6.83,5.33,5.47,5.67,6.07,10.2,11.35,11,11.42,10.58,11.91,11.48,11.76,7.8,7.22,8.44,7.49,7.85,7.9,NA,NA,6.71,NA,11.09,11.94,10.15,11.34,12.14,12.16,10.56,11.35,NA,NA,NA,NA
W949,Witz,Transvaal,F,black,Sotho,Sotho,Sotho,30,30,Middle_Aged_Adult,67,NA,NA,8.44,6.45,NA,NA,NA,NA,NA,NA,6.91,7.24,6.78,8.39,NA,NA,7.09,8.92,NA,NA,10.45,10.64,11.95,10.2,NA,NA,NA,NA,10.16,11.15,11.47,10.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.91,9.94,11.51,11.31,NA,NA,NA,NA,10.8,10.33,11.72,11.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94,11.51,10.91,11.31,10.33,11.72,10.8,11.54,NA,NA,NA,NA,7.24,6.91,6.45,8.44,NA,NA,10.64,11.95,10.45,10.2,11.15,11.47,10.16,10.92,8.39,6.78,8.92,7.09
W22,Witz,Transvaal,F,black,Xhosa,Xhosa,Nguni,30,30,Middle_Aged_Adult,83,NA,NA,NA,NA,6.88,6,NA,NA,NA,NA,NA,NA,7.4,9.43,NA,NA,6.83,9.68,NA,NA,11,11.99,12.91,12.04,NA,NA,NA,NA,10.23,11.62,12.26,11.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72,5.98,NA,NA,7.06,7.1,NA,NA,7.47,8.11,NA,NA,7.31,7.7,11.74,11.06,12.3,12.36,NA,NA,NA,NA,11.04,10.73,11.75,11.72,NA,NA,NA,NA,7.1,7.06,NA,NA,5.98,6.72,11.06,12.3,11.74,12.36,10.73,11.75,11.04,11.72,8.11,7.47,7.7,7.31,NA,NA,NA,NA,6,6.88,11.99,12.91,11,12.04,11.62,12.26,10.23,11.78,9.43,7.4,9.68,6.83
W23,Witz,Transvaal,F,black,Zulu,Zulu,Nguni,65,65,Older_Adult,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39,7.07,NA,NA,6.9,9.66,NA,NA,6.9,9.61,NA,NA,NA,NA,10.72,11.95,12.69,11.66,NA,NA,NA,NA,9.96,11.85,12.35,11.6,NA,NA,NA,NA,NA,NA,6.18,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,8.73,NA,NA,NA,NA,11.5,10.79,12.19,11.84,NA,NA,NA,NA,10.8,10.74,11.74,11.41,NA,NA,NA,NA,6.02,6.18,10.79,12.19,11.5,11.84,10.74,11.74,10.8,11.41,NA,NA,8.73,7.18,7.07,7.39,NA,NA,NA,NA,11.95,12.69,10.72,11.66,11.85,12.35,9.96,11.6,9.66,6.9,9.61,6.9
